ProductID,Category,Title,Description,Price,Link,Rating,Image1,Image2,Image3,Image4
10,PlayStation 5 Controllers,Controller for PS4 Slim Pro Joystick Gamepad Dual Vibration Wireless Bluetooth Joypad For PlayStation 5 Joypad PC/IOS/Android,,11.45,https://www.aliexpress.com/item/1005008025612251.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&aem_p4p_detail=202411161031141056261846435880002724517&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-11&pdp_npi=4%40dis%21PKR%213312.16%213081.00%21%21%2185.97%2179.97%21%4021411ecc17317818742363674e29cf%2112000043304267304%21sea%21PK%210%21ABX&curPageLogUid=H2WI3kHD60RY&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202411161031141056261846435880002724517_3,4.3,./productsAliExpress/PlayStation 5 Controllers_10_1.png,./productsAliExpress/PlayStation 5 Controllers_10_2.png,./productsAliExpress/PlayStation 5 Controllers_10_3.png,./productsAliExpress/PlayStation 5 Controllers_10_4.png
11,PlayStation 5 Controllers,HORI Fighting Commander OCTA Game Controller USB Wired Gamepad for PS5 Playstation 5 4 PS4 PC Controller,,67.99,https://www.aliexpress.com/item/1005006733443567.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-12&pdp_npi=4%40dis%21PKR%2127774.34%2118885.66%21%21%2199.99%2167.99%21%4021411ecc17317818742363674e29cf%2112000038123347995%21sea%21PK%210%21ABX&curPageLogUid=CgAN2WyeibVB&utparam-url=scene%3Asearch%7Cquery_from%3A,5,./productsAliExpress/PlayStation 5 Controllers_11_2.png,./productsAliExpress/PlayStation 5 Controllers_11_3.png,./productsAliExpress/PlayStation 5 Controllers_11_4.png,
12,PlayStation 5 Controllers,Sony PS5 Command FF16 Final Fantasy XVI PS5 Controller PlayStation 5 DualSense Wireless Game Controller Bluetooth Control PS5,,79.07,https://www.aliexpress.com/item/1005006135030331.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-13&pdp_npi=4%40dis%21PKR%2172964.94%2144507.28%21%21%21262.68%21160.23%21%4021411ecc17317818742363674e29cf%2112000036947084420%21sea%21PK%210%21ABX&curPageLogUid=n7xGE5F7K9TH&utparam-url=scene%3Asearch%7Cquery_from%3A,0,./productsAliExpress/PlayStation 5 Controllers_12_1.png,./productsAliExpress/PlayStation 5 Controllers_12_2.png,./productsAliExpress/PlayStation 5 Controllers_12_3.png,./productsAliExpress/PlayStation 5 Controllers_12_4.png
13,PlayStation 5 Controllers,Sony PlayStation DualSense Wireless Controller � Marvels Spider Man 2 Edition - PlayStation 5 PS5 Controller,,100.94,https://www.aliexpress.com/item/1005006064517852.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-14&pdp_npi=4%40dis%21PKR%2132985.33%2128038.22%21%21%21118.75%21100.94%21%4021411ecc17317818742363674e29cf%2112000037898058816%21sea%21PK%210%21ABX&curPageLogUid=Slm8Xz1opA91&utparam-url=scene%3Asearch%7Cquery_from%3A,0,./productsAliExpress/PlayStation 5 Controllers_13_1.png,./productsAliExpress/PlayStation 5 Controllers_13_2.png,./productsAliExpress/PlayStation 5 Controllers_13_3.png,./productsAliExpress/PlayStation 5 Controllers_13_4.png
14,PlayStation 5 Controllers,NE N5 Pro Wired Controller for PC Nintendo Switch Laptop Turbo Vibration LED Light 2.3m/7.5ft Cable 500Hz Gamepad RGB Joystick,,7.19,https://www.aliexpress.com/item/1005006581356632.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&aem_p4p_detail=202411161031141056261846435880002724517&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-15&pdp_npi=4%40dis%21PKR%2110694.30%213850.00%21%21%21277.58%2199.93%21%4021411ecc17317818742363674e29cf%2112000037725759138%21sea%21PK%210%21ABX&curPageLogUid=wFPPsvcOhqsR&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202411161031141056261846435880002724517_4,4.8,./productsAliExpress/PlayStation 5 Controllers_14_2.png,./productsAliExpress/PlayStation 5 Controllers_14_3.png,./productsAliExpress/PlayStation 5 Controllers_14_4.png,
15,PlayStation 5 Controllers,FOR Playstation 5 Controller For Ps5 Bluetooth Gamepad for PC/steam Console With Turbo Dual Sense Vibrate Programming Function,,13.72,https://www.aliexpress.com/item/1005008087942968.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-16&pdp_npi=4%40dis%21PKR%213814.16%213814.16%21%21%2199.00%2199.00%21%4021411ecc17317818742363674e29cf%2112000043657149350%21sea%21PK%210%21ABX&curPageLogUid=p7jkob8cpDbW&utparam-url=scene%3Asearch%7Cquery_from%3A,0,./productsAliExpress/PlayStation 5 Controllers_15_1.png,./productsAliExpress/PlayStation 5 Controllers_15_2.png,./productsAliExpress/PlayStation 5 Controllers_15_3.png,./productsAliExpress/PlayStation 5 Controllers_15_4.png
16,PlayStation 5 Controllers,Sony Red/ Astro Bot Control PS5 Original Playstation 5 DualSense Wireless Controller PS5 Gamepad PS5 Command Original,,86,https://www.aliexpress.com/item/1005007968279396.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-17&pdp_npi=4%40dis%21PKR%2155551.46%2124999.41%21%21%21199.99%2190.00%21%4021411ecc17317818742363674e29cf%2112000043066920777%21sea%21PK%210%21ABX&curPageLogUid=ZXqxN73IoU9E&utparam-url=scene%3Asearch%7Cquery_from%3A,0,./productsAliExpress/PlayStation 5 Controllers_16_2.png,./productsAliExpress/PlayStation 5 Controllers_16_3.png,./productsAliExpress/PlayStation 5 Controllers_16_4.png,
17,PlayStation 5 Controllers,Wireless Controller for Playstation 5/ PS5 Gaming Controller Esports Gamepad Wireless Gamepad Gaming Remote Accessories,,48.53,https://www.aliexpress.com/item/1005008085612616.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-18&pdp_npi=4%40dis%21PKR%2113133.82%2113133.82%21%21%21340.90%21340.90%21%4021411ecc17317818742363674e29cf%2112000043633194426%21sea%21PK%210%21ABX&curPageLogUid=UYWOjJ2oSNyV&utparam-url=scene%3Asearch%7Cquery_from%3A,0,./productsAliExpress/PlayStation 5 Controllers_17_1.png,./productsAliExpress/PlayStation 5 Controllers_17_2.png,./productsAliExpress/PlayStation 5 Controllers_17_3.png,./productsAliExpress/PlayStation 5 Controllers_17_4.png
18,PlayStation 5 Controllers,Sony Red/ Astro Bot Control PS5 Original Playstation 5 DualSense Wireless Controller PS5 Gamepad PS5 Command Original,,86,https://www.aliexpress.com/item/1005007968279396.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-17&pdp_npi=4%40dis%21PKR%2155551.46%2124999.41%21%21%21199.99%2190.00%21%4021411ecc17317818742363674e29cf%2112000043066920777%21sea%21PK%210%21ABX&curPageLogUid=ZXqxN73IoU9E&utparam-url=scene%3Asearch%7Cquery_from%3A,0,./productsAliExpress/PlayStation 5 Controllers_18_2.png,./productsAliExpress/PlayStation 5 Controllers_18_3.png,./productsAliExpress/PlayStation 5 Controllers_18_4.png,
19,PlayStation 5 Controllers,Wireless Controller for Playstation 5/ PS5 Gaming Controller Esports Gamepad Wireless Gamepad Gaming Remote Accessories,,48.53,https://www.aliexpress.com/item/1005008085612616.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-18&pdp_npi=4%40dis%21PKR%2113133.82%2113133.82%21%21%21340.90%21340.90%21%4021411ecc17317818742363674e29cf%2112000043633194426%21sea%21PK%210%21ABX&curPageLogUid=UYWOjJ2oSNyV&utparam-url=scene%3Asearch%7Cquery_from%3A,0,./productsAliExpress/PlayStation 5 Controllers_19_1.png,./productsAliExpress/PlayStation 5 Controllers_19_2.png,./productsAliExpress/PlayStation 5 Controllers_19_3.png,./productsAliExpress/PlayStation 5 Controllers_19_4.png
